Data pomiaru,Data kursu,Godzina kursu,Cena (PLN),Wolne miejsca
2026-09-01 19:01:05,03.09.2026,07:45 -> 15:47,120.65,1
2026-09-01 19:01:05,03.09.2026,12:00 -> 20:14,120.65,1
2026-09-01 19:01:05,03.09.2026,15:35 -> 23:36,120.65,1
2026-09-01 19:01:05,03.09.2026,22:25 -> 06:12,120.65,1
2026-09-01 19:04:24,08.09.2026,07:45 -> 15:47,120.65,1
2026-09-01 19:04:24,08.09.2026,12:00 -> 20:14,120.65,1
2026-09-01 19:04:24,08.09.2026,15:35 -> 23:36,120.65,1
2026-09-01 19:04:24,08.09.2026,22:25 -> 06:12,120.65,1
